total_acci,fatal_abs,no_fatal_abs,material_abs,enero,febrero,marzo,abril,mayo,junio,julio,agosto,septiembre,octubre,noviembre,diciembre,lunes,martes,miercoles,jueves,viernes,sabado,domingo,automovil,camioneta_de_pasajeros,microbus,camion_urbano_de_pasajeros,omnibus,camioneta_de_carga,camion_de_carga,tractor,ferrocarril,motocicleta,bicicleta,otro_tipo_de_transporte,hombre,mujer,fuga,conductor,peaton_o_pasajero,falla_del_vehiculo,mala_condicion_camino,otra,pavimentada,no_pavimentada,colision_vehiculo,atropellamiento,colision_animal,colision_objeto_fijo,volcadura,caida_pasajero,salida_camino,incendio,colision_ferrocarril,colision_con_motocicleta,colision_ciclista,otro_tipo_de_accidente,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,menor_de_xviii,xviii_a_xxx,xxx_a_xl,xl_a_lx,mas_de_lx,edad_no_especificada
4628,105,1616,3524,419,338,427,371,397,363,329,341,428,443,290,482,635,621,597,644,732,775,624,6212,322,221,160,352,1486,420,143,10,227,109,147,4627,1,0,4546,15,40,20,7,4353,275,3258,220,9,215,88,29,537,2,2,20,23,225,117,129,100,84,87,60,83,101,210,216,220,245,198,225,252,281,243,280,297,239,284,220,232,225,81,3829,276,393,613,0
6311,99,1920,4981,371,376,483,504,565,586,587,573,640,514,503,609,938,828,858,870,1002,1020,795,8285,686,352,120,425,1788,692,244,3,300,124,229,6027,109,175,5218,34,99,28,932,6045,266,4546,262,12,322,77,35,818,4,3,63,111,58,136,174,136,159,106,76,75,128,273,348,316,287,312,300,412,396,388,335,342,345,376,325,303,263,77,5159,521,514,784,175
6694,88,1778,5494,243,503,614,605,613,625,436,600,694,471,626,664,897,894,928,940,1122,1068,845,9926,575,46,896,50,1511,393,254,2,259,101,55,5756,629,309,4268,28,101,20,2277,6476,218,4908,231,8,748,110,37,374,2,1,124,82,69,144,173,132,136,96,65,74,179,354,398,324,333,341,399,464,442,415,367,381,346,328,314,260,229,130,4641,889,851,1410,309
8256,77,2114,6817,601,781,668,619,705,678,639,712,589,774,730,760,1134,1182,1082,1099,1368,1295,1096,12281,608,326,865,129,1875,436,290,3,323,134,29,7063,765,428,4090,64,122,49,3931,7983,273,5974,288,15,857,176,37,479,10,2,226,117,75,206,178,184,171,130,91,90,220,456,425,377,431,430,457,573,528,518,471,495,432,414,375,322,282,173,5455,1223,1167,1888,428
10634,102,1910,9252,759,766,894,799,879,797,925,894,969,992,1007,953,1512,1351,1431,1425,1779,1725,1411,12825,1644,144,1533,113,2019,696,383,0,386,123,153,9055,1067,512,7099,38,128,40,3329,10299,335,8015,349,10,910,158,45,656,2,4,250,123,112,353,252,180,196,160,95,138,288,555,550,522,537,520,622,712,677,589,616,532,602,615,542,450,331,97,8639,802,757,1184,512
11055,89,1450,9973,979,898,880,899,904,953,749,871,916,1043,931,1032,1518,1538,1500,1451,1765,1815,1468,12254,2581,490,945,303,2437,704,352,0,430,116,248,10010,736,309,6457,54,199,83,4262,10750,305,8559,329,25,918,169,43,591,5,11,206,116,83,363,245,222,231,197,146,134,290,665,633,585,531,582,618,690,736,682,570,571,538,555,544,433,294,99,9177,806,774,1273,309
10751,111,2094,9264,913,819,981,920,910,976,867,891,875,911,819,869,1405,1431,1440,1373,1726,1869,1507,11316,4191,170,1092,280,1206,722,386,0,402,96,201,9173,1048,530,2870,74,202,80,7525,10577,174,7924,340,22,1096,179,40,713,11,6,192,96,132,392,242,234,228,195,218,187,387,576,628,508,446,532,526,660,665,586,567,612,567,569,526,413,287,120,8116,1108,1052,1731,530
9793,115,2146,8222,874,770,881,808,796,756,664,739,894,859,851,901,1316,1248,1256,1288,1562,1709,1414,9902,4135,395,325,625,1102,542,442,0,455,78,90,7951,1105,737,7581,95,181,50,1886,9646,147,7068,326,19,1062,201,40,662,14,5,271,78,47,375,272,238,238,201,168,166,309,528,522,443,444,455,494,575,574,550,505,494,581,503,470,403,285,192,5826,1692,1607,2665,717
10528,98,2012,9026,801,948,820,814,907,799,714,932,866,1018,923,986,1434,1420,1453,1395,1695,1713,1418,10527,3695,165,873,206,2278,847,366,13,453,67,136,8658,1173,697,9925,118,195,252,38,10347,181,7867,279,18,977,194,66,729,13,13,249,67,56,1516,223,199,213,166,172,142,340,532,570,418,411,450,490,579,554,524,499,486,525,501,433,340,245,222,5694,2159,2075,3449,685
10489,106,2012,9031,787,787,829,829,923,930,825,821,838,1002,878,1040,1386,1386,1371,1399,1735,1744,1468,11004,3680,69,1051,268,2222,750,324,16,458,124,157,8645,1159,685,9783,59,238,73,336,10299,190,7932,265,19,946,218,50,666,17,9,225,88,54,358,260,229,233,199,170,190,403,633,550,496,485,492,496,666,647,526,570,520,602,590,499,394,281,210,3863,2116,2027,3426,2516
11642,100,1919,10261,889,808,823,866,723,797,821,1069,1090,1349,1150,1257,1498,1471,1580,1589,1870,1968,1663,12813,2562,155,700,867,3127,706,348,17,457,99,90,9543,1514,585,11366,27,187,41,21,11511,131,8602,270,28,1318,216,49,743,12,12,271,70,51,434,284,261,268,232,210,218,462,698,683,555,556,499,584,701,760,696,533,496,686,615,528,426,257,232,4567,2686,2620,4510,1767
14713,126,2330,12992,1253,1143,1310,1122,1248,1248,1195,1229,1176,1339,1179,1271,2018,1973,1916,1942,2299,2539,2026,14979,3311,74,289,2155,4299,967,505,16,774,161,97,11961,1966,786,14041,32,344,119,177,14428,285,10949,341,17,1555,253,102,985,14,8,343,98,48,602,314,306,274,260,292,255,470,911,878,693,689,740,766,951,945,830,763,722,781,771,684,518,298,250,5886,3723,3548,5990,1730
14207,86,1970,12683,1137,1084,1296,1105,1194,1244,1071,1212,1168,1261,1277,1158,2029,1923,1805,1953,2265,2341,1891,14758,3168,52,631,1793,3701,856,434,17,748,130,87,11632,1854,721,13624,16,386,63,118,13964,243,10330,363,35,1480,198,110,1073,7,10,461,90,50,476,275,280,255,272,261,235,469,826,869,644,639,699,714,830,946,900,803,698,800,746,713,537,320,247,5447,3682,3491,5996,1644
14576,102,1811,13143,1217,1128,1360,1042,1347,1291,1100,1084,1133,1320,1159,1395,1996,1974,1901,1984,2348,2447,1926,15667,2687,74,403,1839,3814,905,459,9,746,126,144,12166,1733,677,14185,35,245,51,60,14231,345,10417,358,28,1712,184,96,1137,4,5,489,101,45,449,314,283,260,269,214,258,456,835,913,702,657,709,811,963,929,864,758,729,816,806,712,539,330,260,5525,4126,4021,6643,1356
12099,81,1467,10979,1070,1011,1058,989,1098,1012,948,970,918,1026,961,1038,1618,1557,1646,1575,1956,2052,1695,13421,2187,143,626,838,2541,891,319,7,733,82,109,9867,1514,718,11691,77,220,40,71,11812,287,7602,299,20,2414,134,65,893,8,3,547,68,46,408,277,271,268,247,219,246,435,697,754,599,573,542,609,738,721,678,658,558,666,678,520,454,283,172,4445,3203,3113,5614,1216
12143,113,1539,11052,869,861,907,861,812,846,766,803,1039,1344,1337,1698,1568,1641,1553,1747,1891,2027,1716,14489,2300,208,937,159,1931,1063,230,17,719,91,86,10122,1525,496,11553,106,204,50,230,11904,239,7225,248,25,2986,207,77,735,5,12,493,77,53,419,298,257,274,268,210,238,422,691,688,591,572,542,647,728,746,691,671,621,639,642,581,451,256,143,4471,2912,2780,5233,1636
14818,125,1453,13731,1292,1394,1267,1290,1343,1135,1262,1242,1137,1131,1184,1141,2126,2016,2077,2108,2330,2336,1825,17449,2465,217,1441,84,2827,1267,348,17,976,104,72,12123,2131,564,14020,171,259,120,248,14511,307,9914,253,46,2318,235,72,1046,13,12,730,91,88,435,292,276,271,273,206,242,507,879,931,796,724,645,710,951,910,919,833,697,893,803,721,567,337,202,5013,3527,3355,6166,2646
13990,142,1450,12889,984,988,1146,1053,1006,1086,992,1275,1324,1360,1356,1420,2006,1905,1920,1964,2196,2196,1803,16227,2311,212,811,646,2197,1641,662,18,904,80,75,11502,1992,496,13231,168,216,191,184,13769,221,9426,273,39,1884,258,85,1116,8,15,709,72,105,485,335,286,260,242,213,223,536,794,861,748,627,631,767,872,857,924,702,647,847,739,610,480,304,151,4617,3221,3089,5858,2666
15185,179,1507,14052,1255,1163,1350,1222,1203,1303,1230,1305,1099,1389,1370,1296,2204,2092,2048,2086,2425,2399,1931,17218,2533,124,911,695,2269,2058,887,8,1157,95,98,12218,2440,527,14530,135,254,173,93,14987,198,10079,304,33,2203,260,88,1185,17,8,871,91,46,548,329,304,334,278,217,234,489,770,883,825,788,732,837,935,944,931,865,691,844,776,711,557,363,151,4878,3346,3205,6208,3208
13402,181,1747,12259,1201,1280,1337,1120,1175,1048,976,1055,1025,1054,1068,1063,1896,1835,1798,1832,2124,2154,1763,14535,2764,37,945,329,1981,1669,701,18,1199,113,91,10549,2247,606,12816,147,240,144,55,13265,137,8345,279,31,2340,261,84,1089,10,9,829,96,29,466,335,302,270,265,222,219,480,741,747,722,648,614,710,793,868,822,699,582,751,702,591,521,332,124,4598,3133,3053,5927,2042
10050,166,1351,9067,875,1019,902,699,673,775,840,849,811,934,830,843,1346,1234,1317,1322,1585,1770,1476,10567,1870,37,444,139,2021,1046,468,6,1075,99,140,8004,1504,542,9548,112,269,93,28,9928,122,5588,240,44,2370,273,42,632,19,3,720,86,33,387,274,225,196,163,122,131,269,433,492,480,507,502,531,635,650,609,570,510,579,559,471,447,308,112,3343,2320,2221,4458,1609
