total_acci,fatal_abs,no_fatal_abs,material_abs,enero,febrero,marzo,abril,mayo,junio,julio,agosto,septiembre,octubre,noviembre,diciembre,lunes,martes,miercoles,jueves,viernes,sabado,domingo,automovil,camioneta_de_pasajeros,microbus,camion_urbano_de_pasajeros,omnibus,camioneta_de_carga,camion_de_carga,tractor,ferrocarril,motocicleta,bicicleta,otro_tipo_de_transporte,hombre,mujer,fuga,conductor,peaton_o_pasajero,falla_del_vehiculo,mala_condicion_camino,otra,pavimentada,no_pavimentada,colision_vehiculo,atropellamiento,colision_animal,colision_objeto_fijo,volcadura,caida_pasajero,salida_camino,incendio,colision_ferrocarril,colision_con_motocicleta,colision_ciclista,otro_tipo_de_accidente,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,menor_de_xviii,xviii_a_xxx,xxx_a_xl,xl_a_lx,mas_de_lx,edad_no_especificada
4628,2.268798617,34.9178911,76.14520311,9.053586863,7.303370787,9.22644771,8.01642178,8.578219533,7.843560933,7.108902334,7.368193604,9.248055315,9.572169404,6.266205704,10.41486603,13.72082973,13.41832325,12.89974071,13.91529818,15.8167675,16.74589455,13.48314607,63.32959527,3.282699562,2.2530329,1.63,3.59,15.15,4.28,1.46,0.1,2.31,1.11,1.5,99.98,0.021607606,0,98.22817632,0.324114088,0.864304235,0.432152118,0.151253241,94.05790838,5.942091616,70.39757995,4.753673293,0.194468453,4.645635264,1.901469317,0.62662057,11.60328436,0.043215212,0.043215212,0.432152118,0.496974935,4.861711322,2.528089888,2.787381158,2.160760588,1.815038894,1.879861711,1.296456353,1.793431288,2.182368194,4.537597234,4.667242869,4.753673293,5.29386344,4.278305964,4.861711322,5.445116681,6.071737252,5.250648228,6.050129646,6.417458946,5.164217805,6.136560069,4.753673293,5.012964564,4.861711322,1.750216076,82.7355229,5.963699222,8.49178911,13.2454624,0
6311,1.56868959,30.42307083,78.92568531,5.878624624,5.957851371,7.653303755,7.986056093,8.952622405,9.285374743,9.301220092,9.0793852,10.14102361,8.144509586,7.970210743,9.649817778,14.86293773,13.11994929,13.59530978,13.78545397,15.87704009,16.16225638,12.59705277,62.53774155,5.178140097,2.6570048,0.91,3.21,13.5,5.22,1.84,0.02,0.94,1.73,1.73,95.5,1.727143084,2.772936143,82.68103312,0.538741879,1.56868959,0.443669783,14.76786563,95.78513706,4.214862938,72.03295833,4.15148154,0.190144193,5.102202504,1.220091903,0.554587229,12.9614958,0.063381398,0.047536048,0.998257012,1.758833782,0.919030265,2.154967517,2.757090794,2.154967517,2.519410553,1.679607035,1.204246554,1.188401204,2.028204722,4.325780383,5.514181588,5.007130407,4.547615275,4.94374901,4.753604817,6.528283949,6.274758358,6.147995563,5.308192046,5.419109491,5.46664554,5.957851371,5.149738552,4.801140865,4.16732689,1.220091903,81.7461575,8.255427032,8.144509586,12.42275392,2.772936143
6694,1.314610099,26.56109949,82.07349866,3.630116522,7.514191814,9.172393188,9.037944428,9.157454437,9.33671945,6.513295488,8.963250672,10.36749328,7.036151778,9.351658201,9.919330744,13.40005976,13.3552435,13.86316104,14.04242605,16.76127876,15.9545862,12.6232447,70.55729315,4.087290304,0.3269832,6.37,0.36,10.74,2.79,1.81,0.01,0.72,0.39,0.39,85.99,9.396474455,4.616074096,63.75858978,0.418285031,1.508813863,0.298775022,34.0155363,96.74335226,3.256647744,73.3193905,3.450851509,0.119510009,11.17418584,1.643262623,0.552733791,5.587092919,0.029877502,0.014938751,1.852405139,1.224977592,1.030773827,2.151180161,2.584403944,1.971915148,2.031670152,1.434120108,0.971018823,1.105467583,2.674036451,5.288317897,5.945622946,4.840155363,4.974604123,5.094114132,5.960561697,6.93158052,6.602927995,6.199581715,5.482521661,5.691664177,5.168807888,4.899910367,4.690767852,3.884075291,3.420974007,1.942037646,69.33074395,13.28054975,12.7128772,21.06363908,4.616074096
8256,0.932655039,25.60562016,82.57025194,7.279554264,9.459786822,8.091085271,7.497577519,8.539244186,8.212209302,7.739825581,8.624031008,7.134205426,9.375,8.842054264,9.205426357,13.73546512,14.31686047,13.10562016,13.31153101,16.56976744,15.68556202,13.2751938,70.99254292,3.514654026,1.884502,5,0.75,10.84,2.52,1.68,0.02,0.77,0.17,0.17,85.55,9.265988372,5.184108527,49.53972868,0.775193798,1.477713178,0.593507752,47.61385659,96.69331395,3.306686047,72.35949612,3.488372093,0.181686047,10.38032946,2.131782946,0.448158915,5.801841085,0.121124031,0.024224806,2.737403101,1.417151163,0.908430233,2.495155039,2.156007752,2.228682171,2.07122093,1.574612403,1.102228682,1.090116279,2.664728682,5.523255814,5.147771318,4.566375969,5.220445736,5.208333333,5.535368217,6.940406977,6.395348837,6.274224806,5.70494186,5.995639535,5.23255814,5.014534884,4.542151163,3.900193798,3.415697674,2.095445736,66.07315891,14.81346899,14.13517442,22.86821705,5.184108527
10634,0.959187512,17.96125635,87.0039496,7.137483543,7.203310137,8.406996427,7.513635509,8.26593944,7.49482791,8.6985142,8.406996427,9.112281362,9.328568742,9.469625729,8.961820576,14.21854429,12.70453263,13.45683656,13.40041377,16.72935866,16.22155351,13.26876058,64.06413907,8.212198412,0.7193166,7.66,0.56,10.09,3.48,1.91,0,0.61,0.76,0.76,85.15,10.03385368,4.814745157,66.75757006,0.357344367,1.203686289,0.376151965,31.30524732,96.84972729,3.15027271,75.37145007,3.281925898,0.094037991,8.557457213,1.485800263,0.423170961,6.168892232,0.018807598,0.037615197,2.350949784,1.156667294,1.053225503,3.319541095,2.369757382,1.692683844,1.84314463,1.504607862,0.893360918,1.297724281,2.708294151,5.21910852,5.172089524,4.908783148,5.049840135,4.88997555,5.849163062,6.695504984,6.366372014,5.53883769,5.792740267,5.00282114,5.661087079,5.783336468,5.096859131,4.231709611,3.112657514,0.912168516,81.23942073,7.541846906,7.118675945,11.13409818,4.814745157
11055,0.805065581,13.116237,90.2125735,8.855721393,8.123021257,7.960199005,8.132066938,8.177295341,8.620533695,6.775214835,7.878787879,8.28584351,9.434644957,8.42152872,9.335142469,13.73134328,13.9122569,13.56852103,13.12528268,15.96562641,16.41791045,13.27905925,58.7411917,12.37236949,2.3488807,4.53,1.45,11.68,3.37,1.69,0,0.56,1.19,1.19,90.55,6.657620986,2.795115332,58.4079602,0.488466757,1.800090457,0.750791497,38.55269109,97.24106739,2.75893261,77.421981,2.976028946,0.226142017,8.303934871,1.528720036,0.38896427,5.345997286,0.045228403,0.099502488,1.863410222,1.04929896,0.750791497,3.28358209,2.216191768,2.008141113,2.089552239,1.781999095,1.32066938,1.212121212,2.623247399,6.015377657,5.725915875,5.291723202,4.803256445,5.26458616,5.590230665,6.241519674,6.657620986,6.169154229,5.156037992,5.165083673,4.86657621,5.020352782,4.920850294,3.916779738,2.659430122,0.895522388,83.01221167,7.290818634,7.001356852,11.51515152,2.795115332
10751,1.032462097,19.47725793,86.16872849,8.492233281,7.61789601,9.124732583,8.557343503,8.4643289,9.078225281,8.064366105,8.287601153,8.138777788,8.47363036,7.61789601,8.082969026,13.06855176,13.31038973,13.39410287,12.77090503,16.05432053,17.38442936,14.01730072,56.40514405,20.89024026,0.8473731,5.44,1.4,6.01,3.6,1.92,0,0.48,1,1,85.32,9.747930425,4.929773975,26.69519115,0.688308064,1.878894987,0.744116826,69.99348898,98.3815459,1.618454097,73.70477165,3.162496512,0.204632127,10.19440052,1.664961399,0.372058413,6.631941215,0.102316064,0.055808762,1.785880383,0.892940192,1.227792763,3.646172449,2.2509534,2.176541717,2.120732955,1.813784764,2.027718352,1.739373082,3.599665147,5.35764115,5.841317087,4.725141847,4.148451307,4.948376895,4.892568133,6.138963817,6.185471119,5.450655753,5.273928007,5.692493722,5.273928007,5.292530927,4.892568133,3.841503116,2.669519115,1.11617524,75.49065203,10.30601804,9.785136266,16.10082783,4.929773975
9793,1.174308179,21.91361176,83.95792913,8.924742163,7.862759114,8.996221791,8.250791382,8.128254876,7.719799857,6.780353314,7.546206474,9.128969672,8.771571531,8.689880527,9.200449301,13.43817012,12.74379659,12.82548759,13.15225161,15.95016849,17.45124068,14.43888492,54.72834798,22.85414249,2.1831648,1.8,3.45,6.09,3,2.44,0,0.43,0.5,0.5,81.19,11.2835699,7.525783723,77.41243746,0.97008067,1.84825896,0.510568774,19.25865414,98.49892781,1.501072194,72.17400184,3.328908404,0.194016134,10.84448075,2.05248647,0.408455019,6.759930563,0.142959257,0.051056877,2.767282753,0.796487287,0.479934647,3.829265802,2.777494128,2.430307362,2.430307362,2.05248647,1.715511079,1.695088328,3.155315021,5.391606249,5.330337997,4.523639334,4.53385071,4.64617584,5.044419483,5.871540897,5.861329521,5.61625651,5.156744613,5.044419483,5.932809149,5.136321863,4.799346472,4.115184315,2.91024201,1.960584091,59.4914735,17.2776473,16.40968038,27.21331563,7.321556214
10528,0.930851064,19.11094225,85.73328267,7.608282675,9.004559271,7.788753799,7.731762918,8.615121581,7.589285714,6.781914894,8.852583587,8.225683891,9.669452888,8.767097264,9.36550152,13.62082067,13.48784195,13.80129179,13.25037994,16.09992401,16.27089666,13.46884498,53.63529831,18.82610689,0.8406787,4.45,1.05,11.61,4.32,1.86,0.07,0.34,0.69,0.69,82.24,11.14171733,6.620440729,94.27241641,1.120820669,1.852203647,2.393617021,0.360942249,98.28077508,1.719224924,74.72454407,2.650075988,0.170972644,9.280015198,1.842705167,0.626899696,6.924392097,0.123480243,0.123480243,2.365121581,0.636398176,0.531914894,14.39969605,2.118161094,1.890197568,2.023176292,1.57674772,1.633738602,1.348784195,3.229483283,5.053191489,5.414133739,3.970364742,3.90387538,4.274316109,4.654255319,5.499620061,5.262158055,4.977203647,4.739741641,4.616261398,4.986702128,4.758738602,4.112841945,3.229483283,2.32712766,2.108662614,54.0843465,20.50721884,19.7093465,32.76025836,6.506458967
10489,1.010582515,19.18200019,86.09972352,7.503098484,7.503098484,7.903517971,7.903517971,8.799694918,8.8664315,7.865382782,7.827247593,7.989322147,9.552864906,8.370674039,9.915149204,13.21384307,13.21384307,13.07083611,13.33778244,16.54113834,16.62694251,13.99561445,54.67826087,18.28571429,0.3428571,5.22,1.33,11.04,3.73,1.61,0.08,0.62,0.78,0.78,82.42,11.04967108,6.530651158,93.2691391,0.562494041,2.26904376,0.695967204,3.203355897,98.18857851,1.811421489,75.62208027,2.526456288,0.181142149,9.018972257,2.078367814,0.476689866,6.349509009,0.162074554,0.085804176,2.145104395,0.838974163,0.514825055,3.413099438,2.478787301,2.183239584,2.221374774,1.897225665,1.620745543,1.811421489,3.842120317,6.034893698,5.243588521,4.728763466,4.623891696,4.690628277,4.728763466,6.349509009,6.168366861,5.014777386,5.434264468,4.957574602,5.739345982,5.624940414,4.757364858,3.756316141,2.678997045,2.002097435,36.82905901,20.17351511,19.32500715,32.66278959,23.98703404
